Cargo ID,Purchase Contract,Load Port,Max Load Volume (M3),Load Date,Discharge Name,Discharge Port,Discharge Date,Vessel Assignment,Sales Contract,Reposition Port,Reposition Date,Laden Canal,Ballast Canal,Buy %,Buy Index,Buy C,Buy Price,Sell %,Sell Index,Sell C,Sell Price,Expected Discharge Quantity,Load Region,Discharge Region,Load Deal Status,Discharge Deal Status,Laden Speed,Ballast Speed,Category,Load Notes,Discharge Notes
Fixed Gaslog Savannah Aug-21,Charter In,Fos - Cavaou LNG Terminal,,2021-08-05,,Fos - Cavaou LNG Terminal,2021-08-05,Gaslog Savannah,Charter In,Fos - Cavaou LNG Terminal,2021-08-30,,,,,,,,,,,,European Union,European Union,,,-0.0,0.0,,,
Fixed Woodside Chaney Aug-21,Charter In,Mina Al-Ahmadi,,2021-08-05,,Mina Al-Ahmadi,2021-08-05,Woodside Chaney,Charter In,Qalhat LNG Terminal,2021-08-21,,,,,,,,,,,,India & Middle-East,India & Middle-East,,,-0.0,0.0,,,
Fixed Bahrain Spirit Aug-21,Charter In,Tianjin Lingang,,2021-08-05,,Tianjin Lingang,2021-08-05,Bahrain Spirit,Charter In,"Cartagena, Colombia",2021-08-21,,,,,,,,,,,,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,,,-0.0,0.0,,,
Fixed Aristidis I Aug-21,Charter In,Inchon - Soraepogu LNG Terminal,,2021-08-05,,Inchon - Soraepogu LNG Terminal,2021-08-05,Aristidis I,Charter In,Corpus Christi,2021-08-15,,,,,,,,,,,,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,,,-0.0,0.0,,,
Fixed Attalos Aug-21,Charter In,Inchon - Soraepogu LNG Terminal,,2021-08-05,,Inchon - Soraepogu LNG Terminal,2021-08-05,Attalos,Charter In,Point Fortin,2021-09-27,,,,,,,,,,,,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,,,-0.0,0.0,,,
Fixed BW Helios Aug-21,Charter In,Pyeong Taek LNG Terminal,,2021-08-05,,Pyeong Taek LNG Terminal,2021-08-05,BW Helios,Charter In,Bontang,2021-09-18,,,,,,,,,,,,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,,,-0.0,0.0,,,
Fixed Aristos I Aug-21,Charter In,Inchon - Soraepogu LNG Terminal,,2021-08-05,,Inchon - Soraepogu LNG Terminal,2021-08-05,Aristos I,Charter In,Bintulu LNG Terminal,2021-08-31,,,,,,,,,,,,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,,,-0.0,0.0,,,
Fixed BW Magnolia Aug-21,Charter In,Pyeong Taek LNG Terminal,,2021-08-05,,Pyeong Taek LNG Terminal,2021-08-05,BW Magnolia,Charter In,Port Moresby,2021-09-01,,,,,,,,,,,,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,,,-0.0,0.0,,,
Fixed BW Lesmes Aug-21,Charter In,Pyeong Taek LNG Terminal,,2021-08-05,,Pyeong Taek LNG Terminal,2021-08-05,BW Lesmes,Charter In,Withnell Bay,2021-09-16,,,,,,,,,,,,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,,,-0.0,0.0,,,
Fixed Merchant Aug-21,Charter In,Point Fortin,,2021-08-05,,Point Fortin,2021-08-05,Merchant,Charter In,Sagunto LNG Terminal,2021-10-27,,,,,,,,,,,,South America,South America,,,-0.0,0.0,,,
BPGE 2021-07,Spot Index,Sagunto LNG Terminal,173478.0,2021-08-07,ENI GLOBAL SG IT 2021-02,Dalian - LNG Terminal,2021-09-22,British Mentor,Spot Index,Dalian - LNG Terminal,2021-09-24,No,No,1.0,TTF Heren DA (EUR),0.0337,12.918569674,1.0,JKM Monthly,0.0,15.655,3340890.0,European Union,Japan / Korea / China / Taiwan,Confirmed,Confirmed,13.406976744186046,,,"Initial Titan wiring: TAC BPGE 2021-07, Port: TAC Pacific Titan Contract: BPGE 2021-07 Titan Index: TTF Heren DA (EUR), Titan Constant: EUR/MMBtu 0.0337, Titan Multiplier: 1.0","Initial Titan wiring: TAC ENI GLOBAL SG IT 2021-02, Port:  Titan Contract: ENI GLOBAL SG IT 2021-02 Titan Index: JKM Monthly, Titan Constant: USD/MMBtu 0.0, Titan Multiplier: 1.0"
PPT 2021-03,Spot Index,Corpus Christi,162549.0,2021-08-15,GAIL 2021-03,Dahej,2021-09-10,Aristidis I,Spot Index,Damietta,2021-09-26,S,S,1.15,HH Final Settled,4.435,9.086,1.15,HH Final Settled,10.0,15.0255,3543849.72,North America,India & Middle-East,Confirmed,Confirmed,16.82482993197279,8.669444444444444,,"Initial Titan wiring: TAC PPT 2021-03, Port: TAC Europe Titan Contract: PPT 2021-03 Titan Index: HH Final Settled, Titan Constant: USD/MMBtu 4.435, Titan Multiplier: 1.15",
Freeport -098a,Fixed,"Cartagena, Colombia",0.0,2021-08-21,GNA1 Long Term LNG SPA-17,Porto do Acu,2021-09-06,Bahrain Spirit,Spot Index,"Freeport LNG Terminal, Texas, U.S.A.",2021-09-30,No,No,,,,,,,,,,South America,South America,Confirmed,Confirmed,11.247126436781608,9.664814814814815,"Warning: Spanish Cargoes pointed to Argentina, etc",,"Initial Titan wiring: TAC GNA1 Long Term LNG SPA-17, Port:  Titan Contract: GNA1 Long Term LNG SPA Titan Index: GNA1 Long Term LNG SPA, Titan Constant: USD/MMBtu 0.0, Titan Multiplier: 1.0"
OMAN FOB SPA-59,Oman FOB,Qalhat LNG Terminal,170000.0,2021-08-21,CPC 2020-Strip-05,Yung-an LNG Terminal,2021-09-03,Woodside Chaney,Spot Index,Withnell Bay,2021-09-18,No,No,0.1151,"DB (3,1,1)-1",0.0,8.32,1.0,JKM Monthly,-0.094,15.561,3858950.0,India & Middle-East,Japan / Korea / China / Taiwan,Confirmed,Confirmed,16.53472222222222,8.080357142857142,,,"Initial Titan wiring: TAC CPC 2020-Strip-05, Port:  Titan Contract: CPC 2020-Strip-05 Titan Index: JKM Monthly, Titan Constant: USD/MMBtu -0.094, Titan Multiplier: 1.0"
