Cargo ID,Purchase Contract,Load Port,Max Load Volume (M3),Load Date,Discharge Name,Discharge Port,Discharge Date,Vessel Assignment,Sales Contract,Reposition Port,Reposition Date,Laden Canal,Ballast Canal,Buy %,Buy Index,Buy C,Buy Price,Sell %,Sell Index,Sell C,Sell Price,Expected Discharge Quantity,Load Region,Discharge Region,Load Deal Status,Discharge Deal Status,Laden Speed,Ballast Speed,Category,Load Notes,Discharge Notes,Carriage Type
Fixed Aristidis I Apr-21,Charter In,Inchon - Soraepogu LNG Terminal,,12/04/2021,,Inchon - Soraepogu LNG Terminal,12/04/2021,Aristidis I,Charter In,"Freeport LNG Terminal, Texas, U.S.A.",27/05/2021,,,,,,,,,,,,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,,,0,0,,,,BP Delivered
Fixed Aristos I Apr-21,Charter In,Inchon - Soraepogu LNG Terminal,,12/04/2021,,Inchon - Soraepogu LNG Terminal,12/04/2021,Aristos I,Charter In,Port Moresby,24/04/2021,,,,,,,,,,,,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,,,0,0,,,,BP Delivered
Fixed Asia Excellence Apr-21,Charter In,Darwin,,12/04/2021,,Darwin,12/04/2021,Asia Excellence,Charter In,Darwin,27/04/2021,,,,,,,,,,,,South East Asia,South East Asia,,,0,0,,,,BP Delivered
Fixed Bahrain Spirit Apr-21,Charter In,Tianjin Lingang,,12/04/2021,,Tianjin Lingang,12/04/2021,Bahrain Spirit,Charter In,Qalhat LNG Terminal,03/05/2021,,,,,,,,,,,,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,,,0,0,,,,BP Delivered
Cheniere FOB Strip 2020-04,Spot Index,Corpus Christi,173837,12/04/2021,PTT-SPA-2018-53,Map Ta Phut,27/05/2021,British Sponsor,PTT,Singapore,01/06/2021,No,No,1.15,HH Final Settled,1.15,4.1239,1,PTT Index,0,6.6226,3592488,North America,South East Asia,Confirmed,Confirmed,13.38218391,9.059166667,,"Initial Titan wiring: TAC Cheniere FOB Strip 2020-04, Port: TAC Europe Titan Contract: Cheniere FOB Strip  2020 Titan Index: HH Final Settled, Titan Constant: USD/MMBtu 1.15, Titan Multiplier: 1.15",,BP Delivered
Fixed BW Lesmes Apr-21,Charter In,Pyeong Taek LNG Terminal,,12/04/2021,,Pyeong Taek LNG Terminal,12/04/2021,BW Lesmes,Charter In,Withnell Bay,11/05/2021,,,,,,,,,,,,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,,,0,0,,,,BP Delivered
Fixed BW Magnolia Apr-21,Charter In,Pyeong Taek LNG Terminal,,12/04/2021,,Pyeong Taek LNG Terminal,12/04/2021,BW Magnolia,Charter In,Inchon - Soraepogu LNG Terminal,18/05/2021,,,,,,,,,,,,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,,,0,0,,,,BP Delivered
Fixed BW Pavilion Leeara Apr-21,Charter In,"Freeport LNG Terminal, Texas, U.S.A.",,12/04/2021,,"Freeport LNG Terminal, Texas, U.S.A.",12/04/2021,BW Pavilion Leeara,Charter In,"Freeport LNG Terminal, Texas, U.S.A.",20/06/2021,,,,,,,,,,,,North America,North America,,,0,0,,,,BP Delivered
Fixed Flex Volunteer Apr-21,Charter In,Gibraltar,,12/04/2021,,Gibraltar,12/04/2021,Flex Volunteer,Charter In,Guanabara LNG Terminal,06/05/2021,,,,,,,,,,,,European Union,European Union,,,0,0,,,,BP Delivered
Fixed Golar Frost Apr-21,Charter In,Singapore,,12/04/2021,,Singapore,12/04/2021,Golar Frost,Charter In,Ras Laffan (Rich),08/11/2024,,,,,,,,,,,,South East Asia,South East Asia,,,0,0,,,,BP Delivered
Fixed Maran Gas Alexandria Apr-21,Charter In,Sabine Pass LNG Terminal,,12/04/2021,,Sabine Pass LNG Terminal,12/04/2021,Maran Gas Alexandria,Charter In,Qalhat LNG Terminal,22/06/2024,,,,,,,,,,,,North America,North America,,,0,0,,,,BP Delivered
Fixed Merchant Apr-21,Charter In,Point Fortin,,12/04/2021,,Point Fortin,12/04/2021,Merchant,Charter In,Bladin Point Terminal,17/04/2021,,,,,,,,,,,,South America,South America,,,0,0,,,,BP Delivered
Ichthys 2021-01,Fixed,Bladin Point Terminal,148369,17/04/2021,CPC 2021-02,Yung-an LNG Terminal,15/05/2021,Merchant,Fixed,Yung-an LNG Terminal,18/05/2021,No,No,,ZERO INDEX,6.18,6.18,,ZERO INDEX,7.145,7.145,3097660,South East Asia,Japan / Korea / China / Taiwan,Confirmed,Confirmed,3.807957393,,,"Initial Titan wiring: TAC Ichthys 2021-01, Port: Senboku  Titan Contract: Ichthys 2021-01  Fixed: USD/MMBtu 6.18",Initial Titan wiring: Ichthys 2021-01  Titan Contract: CPC 2021-02  Fixed: USD/MMBtu 7.145,BP Delivered
Freeport -077a,Fixed,"Cartagena, Colombia",0,18/04/2021,IEASA Strip 2021-01-02,Escobar LNG Terminal,03/05/2021,British Sapphire,Spot Index,"Freeport LNG Terminal, Texas, U.S.A.",01/06/2021,No,No,,,,,1,HH Final Settled,3.858,6.783,2111531,South America,South America,Confirmed,Confirmed,16.05962963,10.43006412,,,"Initial Titan wiring: TAC IEASA Strip 2021-01-02, Port:   Titan Contract: IEASA Strip 2021-01  Titan Index: HH Final Settled, Titan Constant: USD/MMBtu 3.858, Titan Multiplier: 1.0",BP Delivered
PNG FOB 2018-2023-20,PNG,Port Moresby,173000,24/04/2021,CNOOC 2019-2039-33,Tianjin Lingang,11/05/2021,Aristos I,CNOOC 2019-2039,Tianjin Lingang,15/05/2021,No,No,0.1155,"ICE Brent Frontline (1,1,1)",0,7.5846,0,CNOOC DES,0,8.81,3362464,South East Asia,Japan / Korea / China / Taiwan,Confirmed,Confirmed,10.50473067,,,,,BP Delivered
Darwin LNG 2021-02,Fixed,Darwin,155602,27/04/2021,BPCHC 2021-2022-03,Guangdong LNG Terminal,07/05/2021,Asia Excellence,BPCHC 2021-2022,Guangdong LNG Terminal,09/05/2021,No,No,,ZERO INDEX,6.691,6.691,1,BPCHC 2021-2022 CNY,0,44.6278,3557944,South East Asia,Japan / Korea / China / Taiwan,Confirmed,Confirmed,12.634233,,,"Initial Titan wiring: TAC Darwin LNG 2021-02, Port: TAC Pacific  Titan Contract: Darwin LNG 2021-02  Fixed: USD/MMBtu 6.691",,BP Delivered
GAIL 2020-04,Spot Index,Cove Point - LNG,158940,01/05/2021,BPGE 2021-04,Barcelona LNG Terminal,13/05/2021,British Contributor,Fixed,Sabine Pass LNG Terminal,02/06/2021,No,No,1,TTF ICE FMA Specific Days (USD - Reuters 4pm FX),-0.52,6.608,1,BPGE 2021-04,0,7.5,3642431.76,North America,European Union,Confirmed,Confirmed,15.01932244,11.62282728,,"Initial Titan wiring: TAC GAIL 2020-04, Port: TAC Europe Titan Contract: GAIL 2020-04 Titan Index: TTF ICE FMA (USD - Reuters 4pm FX) , Titan Constant: USD/MMBtu -0.52, Titan Multiplier: 1.0",Initial Titan wiring: GAIL 2020-04  Titan Contract: BPGE 2021-04  Fixed: USD/MMBtu 7.35,BP Delivered
OMAN FOB SPA-53 GUCD,Oman FOB,Qalhat LNG Terminal,170000,03/05/2021,CNOOC 2019-2039-34,Tianjin Lingang,23/05/2021,Bahrain Spirit,CNOOC 2019-2039,"Freeport LNG Terminal, Texas, U.S.A.",02/07/2021,No,No,0.1151,"DB (3,1,1)-1",0,7.39,,,,,,India & Middle-East,Japan / Korea / China / Taiwan,Confirmed,Confirmed,13.09333592,17.51596421,,,,BP Delivered
