Year,Month,Curve Name,Short,Long,Net,,Date for lookup,Basin
2021,8,Charter Hire Curve 155 Atlantic Notional,-34,0,-34,,Aug-2021,Atlantic
2021,8,Charter Hire Curve 174 Atlantic Notional,0,1,1,,Aug-2021,Atlantic
2021,9,Charter Hire Curve 174 Atlantic Notional,-30,30,0,,Sep-2021,Atlantic
2021,9,Charter Hire Curve 174 Pacific Notional,0,6,6,,Sep-2021,Pacific 
2021,10,Charter Hire Curve 155 Atlantic Notional,-12,18,6,,Oct-2021,Atlantic
2021,10,Charter Hire Curve 174 Atlantic Notional,0,40,40,,Oct-2021,Atlantic
2021,10,Charter Hire Curve 174 Pacific Notional,0,42,42,,Oct-2021,Pacific 
2021,11,Charter Hire Curve 155 Atlantic Notional,-33,48,15,,Nov-2021,Atlantic
2021,11,Charter Hire Curve 174 Atlantic Notional,-29,76,47,,Nov-2021,Atlantic
2021,11,Charter Hire Curve 174 Pacific Notional,-9,90,81,,Nov-2021,Pacific 
2021,12,Charter Hire Curve 155 Atlantic Notional,-27,31,4,,Dec-2021,Atlantic
2021,12,Charter Hire Curve 155 Pacific Notional,-38,0,-38,,Dec-2021,Pacific 
2021,12,Charter Hire Curve 174 Atlantic Notional,-23,93,70,,Dec-2021,Atlantic
2021,12,Charter Hire Curve 174 Pacific Notional,-49,102,53,,Dec-2021,Pacific 
2022,1,Charter Hire Curve 155 Atlantic Notional,-43,31,-12,,Jan-2022,Atlantic
2022,1,Charter Hire Curve 155 Pacific Notional,-23,0,-23,,Jan-2022,Pacific 
2022,1,Charter Hire Curve 174 Atlantic Notional,-30,93,63,,Jan-2022,Atlantic
2022,1,Charter Hire Curve 174 Pacific Notional,-70,124,54,,Jan-2022,Pacific 
2022,2,Charter Hire Curve 155 Atlantic Notional,-28,28,0,,Feb-2022,Atlantic
2022,2,Charter Hire Curve 155 Pacific Notional,-10,0,-10,,Feb-2022,Pacific 
2022,2,Charter Hire Curve 174 Atlantic Notional,-57,84,27,,Feb-2022,Atlantic
2022,2,Charter Hire Curve 174 Pacific Notional,0,112,112,,Feb-2022,Pacific 
2022,3,Charter Hire Curve 155 Atlantic Notional,-28,31,3,,Mar-2022,Atlantic
2022,3,Charter Hire Curve 174 Atlantic Notional,-30,93,63,,Mar-2022,Atlantic
2022,3,Charter Hire Curve 174 Pacific Notional,-33,93,60,,Mar-2022,Pacific 
2022,4,Charter Hire Curve 155 Atlantic Notional,0,30,30,,Apr-2022,Atlantic
2022,4,Charter Hire Curve 155 Pacific Notional,-27,0,-27,,Apr-2022,Pacific 
